35675904,Oppo,N1,,
49013920,Nokia,1610,,
49502220,Nokia,1620,,
35250500,Nokia,6820,,
49012241,Siemens,S2,,
35060680,Nokia,3310,,
44919451,Siemens,M35i,,
35863907,SciPhone,Dream G2,,
44814551,Siemens,S10 active,,
35649604,Cinterion,BGS2-W,,
01194800,Apple,iPhone 3GS,,
01203000,Apple,iPhone 3GS,,
01215600,Apple,iPhone 3GS,,
01216200,Apple,iPhone 3GS,,
01216300,Apple,iPhone 3GS,,
01242200,Apple,iPhone 4,,
01243100,Apple,iPhone 4,,
01253300,Apple,iPhone 4,,
01254100,Apple,iPhone 4,,
01275000,Apple,iPhone 4,,
01283700,Apple,iPhone 4,,
01294000,Apple,iPhone 4s,,
01300600,Apple,iPhone 4s,,
01303900,Apple,iPhone 4s,,
01304000,Apple,iPhone 4s,,
01304600,Apple,iPhone 4s,,
01305100,Apple,iPhone 4s,,
01305200,Apple,iPhone 4s,,
01305300,Apple,iPhone 4s,,
01306200,Apple,iPhone 4s,,
01306400,Apple,iPhone 4s,,
01306800,Apple,iPhone 4s,,
01312600,Apple,iPhone 4,,
01312700,Apple,iPhone 4,,
01312800,Apple,iPhone 4,,
01317900,Apple,iPhone 4s,,
01318300,Apple,iPhone 4s,,
01326300,Apple,iPhone 4,,
01334500,Apple,iPhone 5,,
01334600,Apple,iPhone 5,,
01335000,Apple,iPhone 5,,
01335100,Apple,iPhone 5,,
01340300,Apple,iPhone 5,,
01340400,Apple,iPhone 5,,
01341100,Apple,iPhone 5,,
01341400,Apple,iPhone 5,,
01341700,Apple,iPhone 5,,
01341800,Apple,iPhone 5,,
01342000,Apple,iPhone 5,,
01342100,Apple,iPhone 5,,
01342200,Apple,iPhone 5,,
01343800,Apple,iPhone 5,,
01344100,Apple,iPhone 5,,
01355100,Apple,iPhone 5,,
01355600,Apple,iPhone 5,,
01361900,Apple,iPhone 5,,
01362500,Apple,iPhone 5,,
01363100,Apple,iPhone 5,,
35793200,Nokia,6600,,
35795200,Nokia,6600,,
35881700,Nokia,6600,,
35936500,Nokia,6600,,
35227201,Nokia,6600,,
35707000,Nokia,6600,,
35973200,Nokia,6600,,
35227301,Nokia,6600,,
35227401,Nokia,6600,,
35365901,Nokia,E90,,
35366001,Nokia,E90,,
35207102,Nokia,E90,,
35624600,Nokia,9300i,,
35624700,Nokia,9300i,,
35624800,Nokia,9300i,,
35397501,Nokia,1965HSD,,
35276301,Nokia,1965HSD,,
35762300,Nokia,3220,,
35793800,Nokia,3220,,
35796200,Nokia,3220,,
35837200,Nokia,3220,,
35839200,Nokia,3220,,
35838400,Nokia,3220,,
35880500,Nokia,3220,,
35936000,Nokia,3220,,
35939600,Nokia,3220,,
35186001,Nokia,3220,,
35273701,Nokia,3220,,
35627901,Nokia,3220,,
35761100,Nokia,3220,,
35935900,Nokia,3220,,
35225401,Nokia,3220,,
35454101,Nokia,3220,,
35839000,Nokia,7610,,
35975700,Nokia,7610,,
35537100,Nokia,7610,,
35327001,Nokia,7610,,
35481301,Nokia,7610,,
35484401,Nokia,7610,,
35696501,Nokia,7610,,
35955501,Nokia,7610,,
35663500,Nokia,1600,,
35838200,Nokia,1600,,
35838300,Nokia,1600,,
35835500,Nokia,1600,,
35882200,Nokia,1600,,
35883600,Nokia,1600,,
35935300,Nokia,1600,,
35935400,Nokia,1600,,
35937500,Nokia,1600,,
35937900,Nokia,1600,,
35938300,Nokia,1600,,
35938400,Nokia,1600,,
35938500,Nokia,1600,,
35938600,Nokia,1600,,
35938800,Nokia,1600,,
35186601,Nokia,1600,,
35186701,Nokia,1600,,
35189001,Nokia,1600,,
35189101,Nokia,1600,,
35189801,Nokia,1600,,
35273901,Nokia,1600,,
35937700,Nokia,1600,,
35326501,Nokia,1600,,
35364901,Nokia,1600,,
35365001,Nokia,1600,,
35365101,Nokia,1600,,
35365201,Nokia,1600,,
35365801,Nokia,1600,,
35395101,Nokia,1600,,
35453401,Nokia,1600,,
35453601,Nokia,1600,,
35455501,Nokia,1600,,
35457401,Nokia,1600,,
35481001,Nokia,1600,,
35483601,Nokia,1600,,
35550701,Nokia,1600,,
35550801,Nokia,1600,,
35551701,Nokia,1600,,
35551801,Nokia,1600,,
35552601,Nokia,1600,,
35554001,Nokia,1600,,
